Date,NFT,REIT,AAA,TY,BTC,ETH,OIL,GOLD,S&P
10/8/2019,-0.102634626,-0.000318113,-0.000748036,1.537,-0.002044365,0.004599143,-0.000760312,0.005926831,-0.015683167
10/9/2019,0.350329796,0.000623393,-0.003484348,1.589,0.043628604,0.060083365,0.018089809,-0.00753111,0.00906335
10/10/2019,-0.38785459,-0.001043478,-0.005913628,1.658,-0.001078627,-0.008487276,0.021247913,-0.008127669,0.006395209
10/14/2019,0.305977801,-0.005006403,0.000253104,1.733,0.006430503,0.026480028,-0.014661917,-0.009497259,-0.001388042
10/15/2019,0.480455615,0.000561688,-0.000590676,1.771,-0.020424934,-0.030161559,0.010360835,0.007013787,0.009906435
10/16/2019,-0.022029876,-0.003426535,0.003412661,1.748,-0.019423892,-0.030177263,0.010625508,0.002885618,-0.002001548
10/17/2019,-0.454108741,0.010814975,-0.000196298,1.757,0.00698198,0.011382094,-0.002785259,-0.002751218,0.002759019
10/21/2019,-0.232278912,0.004835871,-0.003662725,1.792,0.002628793,-0.003500524,0.015818698,-0.000472319,0.006848107
10/22/2019,0.057268288,0.001573518,0.003984852,1.768,-0.020282321,-0.015092263,0.032873204,0.005518926,-0.003575056
10/23/2019,0.093372623,-0.004966244,-8.40E-05,1.759,-0.072312103,-0.05916254,0.004634589,0.006022502,0.002843094
10/24/2019,0.080696824,0.001979451,0.00030805,1.766,-0.00282288,-0.001443362,0.007618072,0.000400213,0.001918598
10/28/2019,-0.307469531,-0.003353084,-0.005040773,1.853,-0.031432676,-0.008609404,-0.004849583,-0.002015452,0.005565862
10/29/2019,0.16024714,0.005775441,0.001142736,1.835,0.018362812,0.041183585,-0.008679982,0.004160801,-0.000832742
10/30/2019,0.211832013,-0.004673393,0.00261913,1.798,-0.023825096,-0.030134987,-0.016111663,0.012114906,0.003248048
10/31/2019,-0.186239638,0.004244824,0.008653335,1.691,-0.000667373,-0.003934534,0.03660492,-0.002252104,-0.003027452
11/4/2019,-0.304526118,-0.003941063,-0.005777607,1.786,0.019011526,0.021315269,0.006031595,0,0.003697211
11/5/2019,-0.275448007,-0.017410723,-0.006122439,1.866,-0.007473715,0.015700583,0.012129884,-0.018201787,-0.001186434
11/6/2019,-0.169178731,0.004384431,0.006066182,1.814,0.001962481,0.012022644,-0.015495996,0.006327857,0.000702279
11/7/2019,-0.057700713,-0.010625497,-0.00999351,1.926,-0.010018996,-0.01906052,0.01409715,-0.017601321,0.002726407
11/8/2019,-0.324984367,-0.001187654,-0.000539972,1.933,-0.051214084,-0.020232803,0.001573564,-0.001982568,0.002557356
11/11/2019,0.56029691,-0.000770699,0.000255813,1.943,-0.033431848,-0.021270097,-0.006660848,-0.003976966,-0.001964373
11/12/2019,-0.535177849,-0.000627537,0.00295132,1.909,0.006586553,0.007271882,-0.00105578,-0.0023387,0.001563398
11/13/2019,-0.17490725,0.001816027,0.002547015,1.87,-0.000839701,0.007546401,0.005617992,0.006589357,0.000711297
11/14/2019,0.332374683,0.007995551,0.005046529,1.815,-0.011437202,-0.012072603,-0.006146301,0.006886,0.000836743
11/15/2019,-0.560609659,0.002043875,-0.001660569,1.834,-0.025129398,-0.0298966,0.016595717,-0.003062164,0.007666003
11/18/2019,-0.255848257,0.010630208,0.002742676,1.808,-0.031824239,-0.024939192,-0.011675658,0.002450481,0.000503004
11/19/2019,-0.005954368,-0.000319699,0.002735174,1.786,-0.012490375,-0.017340762,-0.03278398,0.001630324,-0.000592739
11/20/2019,0.022310637,-0.00303583,0.00342593,1.738,-0.022039072,-0.009951562,0.033835136,0,-0.003763266
11/21/2019,0.008400696,-0.010536505,-0.004154578,1.772,-0.049086768,-0.0844943,0.025414109,-0.00694731,-0.001584031
11/22/2019,-0.342798512,-0.005355803,0.000812689,1.774,-0.046352065,-0.071852781,-0.013923732,0,0.002172574
11/25/2019,0.482631036,0.002200397,0.002657642,1.764,0.013839371,0.025177193,0.0041458,-0.00445252,0.007479299
11/26/2019,-0.422250525,0.009977451,0.003736706,1.74,0.010057836,0.016846645,0.006871699,0.002194487,0.002193123
11/27/2019,0.398933406,0.008309497,-2.78E-05,1.767,0.042486626,0.026795063,-0.005149342,-0.004393801,0.004165779
11/29/2019,-0.38150799,-0.004877274,-0.001114005,1.776,0.03917091,0.023364738,-0.051918439,0.008359076,-0.004019317
12/2/2019,-0.017459221,-0.011629477,-0.008071046,1.836,-0.013875477,-0.01416582,0.014217823,-0.002254176,-0.008668528
12/3/2019,0.73342108,0.002955626,0.012935275,1.709,-0.000251708,-0.007425483,0.002498663,0.010814593,-0.006660172
12/4/2019,-0.129244141,0.003733946,-0.006132813,1.781,-0.009348133,-0.008202706,0.040693644,-0.002845338,0.006303639
12/5/2019,0.519557444,0.000141827,-0.000669792,1.797,0.026704768,0.016900933,0,0.001965503,0.001499152
12/6/2019,-0.741364989,0.001584789,-0.002235887,1.842,0.013162839,-0.000365563,0.013092085,-0.012125489,0.009094252
12/9/2019,0.562875775,0.001890625,0.002152131,1.829,-0.021844254,-0.020298884,-0.003045172,0.000137061,-0.003167849
12/10/2019,-0.110890651,-0.006083395,0.000851189,1.833,-0.016728999,-0.013298544,0.00372062,0.002258805,-0.001097555
12/11/2019,-0.116533816,-0.010461566,0.003397528,1.79,-0.008373984,-0.01834664,-0.008135638,0.00463848,0.002903981
